drug,smiles,BBB_score,MW,LogP,TPSA,HBD,HBA
Estradiol cypionate,CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,6.0,396.5710000000002,6.130500000000008,46.53,1.0,3.0
Estradiol valerate,CCCCC(=O)OC1CCC2C1(CCC3C2CCC4=C3C=CC(=C4)O)C,6.0,356.50600000000003,5.350300000000006,46.53,1.0,3.0
Etanercept,,,,,,,
Fingolimod,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,8.0,307.47800000000007,3.2043000000000013,66.48,3.0,3.0
Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,7.0,446.91000000000037,4.2756000000000025,68.74000000000001,1.0,7.0
Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,4.0,263.2,-1.2886000000000004,110.60000000000001,3.0,6.0
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,5.0,270.23999999999995,2.576800000000001,90.9,3.0,5.0
Gilteritinib,CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5,3.0,552.7240000000004,2.6972000000000014,121.11,3.0,10.0
Glasdegib,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N,5.0,374.44800000000015,3.391580000000001,96.84,3.0,4.0
Goserelin,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,1.0,1269.4330000000004,-3.1057000000000246,495.8899999999999,17.0,16.0
Histrelin,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC2=CN(C=N2)CC3=CC=CC=C3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8,1.0,1323.5280000000005,-0.9967000000000052,449.3599999999999,15.0,15.0
Human interferon beta,,,,,,,
Icotinib,C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,7.0,391.4270000000003,3.1591000000000005,74.73000000000002,1.0,7.0
Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,5.0,493.61500000000024,4.590320000000003,86.28000000000002,2.0,7.0
Interferon alfa,,,,,,,
Interferon alfa-2a,,,,,,,
Interferon alfa-2b,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.C(S(=O)(=O)[O-])(I)I.[Na+],4.0,746.5520000000001,2.2916000000000007,104.56,0.0,6.0
Interferon alfa-n1,,,,,,,
Interferon alfa-n3,,,,,,,
Interferon alfacon-1,,,,,,,
Interferon beta-1a,,,,,,,
Interferon beta-1b,,,,,,,
Lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,1.0,581.0690000000003,6.139100000000004,106.35000000000001,2.0,8.0
Larotrectinib,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F,7.0,428.4430000000002,2.9475000000000016,86.00000000000001,2.0,5.0
Lenvatinib,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,4.0,426.8600000000001,4.071900000000001,115.57,3.0,5.0
Leuprolide,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,1.0,1209.4210000000005,-1.438100000000009,431.53999999999985,15.0,14.0
Masoprocol,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,5.0,302.36999999999995,3.5664000000000033,80.92,4.0,4.0
Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,1.0,454.44700000000023,0.2684000000000003,210.53999999999996,5.0,10.0
Midostaurin,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,4.0,570.6490000000003,5.906800000000007,77.73,1.0,4.0
